Index;Date;Time;Cardio1;Saturation1;Cardio2;Saturation2;Cardio3;Saturation3;Acceleration g;Acceleration a
137;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
138;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
139;5/1/2023;6:30:25;0.00;0;0.00;0;0.00;0;3.66;1.84
140;5/1/2023;6:30:25;0.00;0;0.00;0;0.00;0;3.66;1.84
141;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
142;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
143;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
144;5/1/2023;6:30:25;0.00;0;0.00;0;0.00;0;3.66;1.84
145;5/1/2023;6:30:25;0.00;0;0.00;0;0.00;0;3.66;1.84
146;5/1/2023;6:30:21;0.00;0;0.00;0;0.00;0;3.66;1.84
147;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
148;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
149;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
150;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
151;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
152;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
153;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
154;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
155;5/1/2023;6:30:5;0.00;0;0.00;0;0.00;0;3.66;1.84
156;5/1/2023;6:30:1;0.00;0;0.00;0;0.00;0;3.66;1.84
157;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
158;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
159;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
160;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
161;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
162;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
163;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
164;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
165;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
166;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
167;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
