Index;Date;Time;Temperature(°C);Cardio(BPM);Saturation(%SpO2);Audio(%max);Rotation(rad/s);Acceleration(m/s2)
149;07/03/2023;13:28:14;28.79;0.00;0;99.00;0.07;10.08
150;07/03/2023;13:28:16;28.79;0.00;0;99.00;0.07;10.08
151;07/03/2023;13:28:18;28.80;0.00;0;99.00;0.07;10.09
152;07/03/2023;13:28:20;28.80;0.00;0;99.00;0.07;10.08
153;07/03/2023;13:28:22;28.80;0.00;0;99.00;0.07;10.07
154;07/03/2023;13:28:24;28.79;0.00;0;99.00;0.07;10.09
155;07/03/2023;13:28:26;28.80;0.00;0;99.00;0.06;10.08
156;07/03/2023;13:28:28;28.79;0.00;0;99.00;0.06;10.06
157;07/03/2023;13:28:30;28.80;0.00;0;99.00;0.07;10.06
158;07/03/2023;13:28:32;28.80;0.00;0;99.00;0.07;10.06
159;07/03/2023;13:28:34;28.82;0.00;0;99.00;0.07;10.07
160;07/03/2023;13:28:36;28.82;0.00;0;99.00;0.07;10.07
161;07/03/2023;13:28:38;28.82;0.00;0;99.00;0.06;10.07
162;07/03/2023;13:28:40;28.83;0.00;0;99.00;0.07;10.07
163;07/03/2023;13:28:42;28.84;0.00;0;99.00;0.06;10.06
164;07/03/2023;13:28:44;28.82;0.00;0;99.00;0.07;10.08
165;07/03/2023;13:28:46;28.83;0.00;0;99.00;0.07;10.07
166;07/03/2023;13:28:49;28.82;0.00;0;99.00;0.07;10.05
167;07/03/2023;13:28:51;28.83;0.00;0;99.00;0.07;10.08
168;07/03/2023;13:28:53;28.86;0.00;0;99.00;0.07;10.07
169;07/03/2023;13:28:55;28.84;0.00;0;99.00;0.07;10.08
170;07/03/2023;13:28:57;28.85;0.00;0;99.00;0.06;10.06
171;07/03/2023;13:28:59;28.85;0.00;0;99.00;0.07;10.09
172;07/03/2023;13:29:01;28.85;0.00;0;99.00;0.06;10.07
173;07/03/2023;13:29:03;28.85;0.00;0;99.00;0.06;10.07
174;07/03/2023;13:29:05;28.86;0.00;0;99.00;0.07;10.09
175;07/03/2023;13:29:07;28.87;0.00;0;99.00;0.07;10.08
176;07/03/2023;13:29:09;28.86;0.00;0;99.00;0.07;10.08
177;07/03/2023;13:29:11;28.86;0.00;0;99.00;0.07;10.09
178;07/03/2023;13:29:13;28.87;0.00;0;99.00;0.07;10.06
179;07/03/2023;13:29:15;28.87;0.00;0;99.00;0.07;10.07
180;07/03/2023;13:29:17;28.84;0.00;0;99.00;0.07;10.09
181;07/03/2023;13:29:19;28.89;0.00;0;99.00;0.07;10.06
182;07/03/2023;13:29:21;28.87;0.00;0;99.00;0.06;10.09
183;07/03/2023;13:29:23;28.89;0.00;0;99.00;0.07;10.07
184;07/03/2023;13:29:25;28.90;0.00;0;99.00;0.07;10.07
185;07/03/2023;13:29:27;28.89;0.00;0;99.00;0.06;10.08
186;07/03/2023;13:29:29;28.87;0.00;0;99.00;0.07;10.06
187;07/03/2023;13:29:31;28.89;0.00;0;99.00;0.06;10.09
188;07/03/2023;13:29:33;28.87;0.00;0;99.00;0.06;10.07
189;07/03/2023;13:29:35;28.89;0.00;0;99.00;0.07;10.07
